,date,weight,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,ts_id,action
date,1.0,0.03757712336400548,-0.0003838565472960715,-0.0381694049209438,0.020429146797302185,-0.0048625318915488346,-0.003448439249806271,-0.007369700240596579,-0.006781451910029947,-0.014243566947503112,-0.0027421214281214525,-0.055096197057049,0.0038110890633100388,-0.01816246550888234,0.0025391690293365392,-0.028654194432642485,0.003910655440746805,-0.04250791354769434,0.008003283403404534,-0.008917192587161052,0.00016435675878397207,-0.02694158095952262,-0.008040801020667863,-0.012367469754287723,-0.0005112221312572743,-0.019289733747060882,-0.005020102470320575,-0.024248586614924416,-0.007539877305894229,-0.01098724907427498,-0.003055306083201398,-0.026581411477388826,-0.011113512331706753,-0.013706451674502447,-0.002811324377143298,-0.019760775578563133,-0.006128951019693423,-0.02395356420208775,-0.010949292229339293,-0.0045906478824316544,-0.0020898745200568763,-0.0038594449626780576,-0.0014444812011142746,0.0253684938100127,-0.05549012480720662,-0.14714947520858065,-0.08096841176389907,-0.14736565905951404,-0.05630948210094931,-0.06126193885848272,-0.018377175351858736,0.009956472280768989,-0.045894470833361706,0.012201850245555602,-0.020063082395913305,-0.07288842540587162,-0.031167691914098763,-0.09203060263372544,-0.05854432297520363,-0.0860133841412781,-0.08282815738438663,-0.07326631979946491,-0.012602206216515508,-0.014522634252172885,-0.03222493084684964,-0.03374844669514707,-0.04386660316524222,-0.033002227219616306,-0.032444047056297276,-0.027278751973336818,-0.026711005478057274,-0.037704371538248696,0.010868077709817526,0.026788390817861572,0.0023154213612764703,-0.0021248761061122604,0.0013220086580698859,-0.0003280677951233832,-0.002413438044905617,0.023742507125146202,0.004539340272481442,0.0018720327857036103,0.003936257557874274,0.002807566385408311,0.0011763790766928745,0.03608010165149711,-0.009029248503174157,0.016896073248354525,0.0033791820391127696,0.011172742076677473,0.0163342366933997,-0.030729079346394985,-0.09026344411346342,-0.016836009764007308,-0.06353974607626771,-0.044635411760358935,-0.024989068230352372,-0.11701470832443905,-0.010864368922333075,0.018620198632550204,0.0009420637284625058,0.012485416620482094,0.018162315355355164,-0.03263026433961509,-0.09465342091222026,-0.018124732819763317,-0.06423335548000764,-0.04521534970988887,-0.024903843834797282,-0.12273693839354624,-0.015289726542585258,0.03656013983329351,0.0037209899148431336,0.01765591466567673,0.03456623346321901,-0.03513193489295539,-0.09502723477043531,-0.028937679767887872,-0.07396819506283116,-0.058483541123618664,-0.03674569454290394,-0.12086621134369288,-0.0708109943230979,-0.023768664184408622,-0.07024482950421253,-0.02274892829318106,-0.07278697482054627,-0.023819991093402985,-0.073579907064456,-0.02411521481900178,-0.07245078087919665,-0.023899627989589087,0.9985163829609234,-0.004656677721738811
weight,0.03757712336400548,1.0,-0.0065608811456762655,-0.009857131612897639,0.06818778272462156,-0.0029978609693745487,0.00023074956177682987,-0.0028426158397856834,-0.0013025814341446915,-0.015151643566863982,-0.0002422133243614636,-0.05532331757620519,0.02073896940456011,-0.022790634515866052,0.0038137853324902854,-0.03340079715655311,0.010760058553731217,-0.04662227618936537,0.019904337772169246,-0.010587838845137438,-0.0019006904460656462,-0.02475808814447454,-0.007318738406120292,-0.010223599247739253,-3.972374840964133e-05,-0.010969989918012481,0.002678514095597498,-0.01744462254497608,-0.0026515118447177576,-0.009914919297709072,0.0017626683197626573,-0.0250264435893868,-0.004070683517045228,-0.009226041412517094,0.006672806522233706,-0.01071678221508164,0.007251424033457056,-0.015562044268187126,0.0008209352330065748,-0.004240387304043238,-0.0023159223988765956,-0.0019317252835170625,0.004764955469896433,0.33771051840658406,-0.20360437570425088,-0.1621888477709262,-0.007550157921854568,0.05335260193872431,0.07385609970987522,0.06640132880792757,0.07060690537672537,0.085599369754797,0.20891634058513708,0.5205967950759107,0.27793253880998864,-0.16963290454606386,0.02001052153402222,-0.0023640261566432695,-0.005424282947352582,-0.0005464937273282912,0.001590041907227809,0.00020352425198114996,0.010609950151218222,0.00940082231714329,0.00020560125657222877,-0.0010054326829170468,0.02208062859499161,0.01697688266390422,0.01747852486453054,0.021341663503282572,0.021951952373836004,-0.008454092282084337,0.24659650113311157,0.07776657766895029,0.002854337523541349,0.0041665293325768345,0.0009978481118314878,0.00287592753459537,0.004241987341713288,0.017724925149107583,0.002367124342583682,0.005036018321452618,0.0014132314933589325,0.003003276736834988,0.004760752298433691,0.012123668607102869,-0.039296613481526015,-0.03302971537800175,-0.03641588941719766,-0.032681505260706394,-0.034352044579014834,-0.027560616368580836,0.05088349924769954,0.030698006405042264,0.04319074044434001,0.03802453543935503,0.026587467600969555,0.06826797941909427,-0.04143910469227885,-0.037966307317846004,-0.036769750762416314,-0.03744247308690936,-0.03911493297028108,-0.03135256738323406,0.05386206739504952,0.020379049296079758,0.03723123013426721,0.031228058034596478,0.020171433795447936,0.06392094164753437,-0.04318704317259125,-0.04747293398012266,-0.043213124446763514,-0.049398827863134924,-0.05645197092198695,-0.028789049147795658,0.05191231430365716,0.06128936975719401,0.052443643575513524,0.05356063635850765,0.04830552646584236,0.06023184005433262,-0.20720591544956302,-0.025471279114249772,-0.19430617797983457,-0.0077324847667143036,-0.20138578081937816,-0.019272321355967285,-0.21015211241891196,-0.01626772708845842,-0.2021524536280117,-0.011284358777231294,0.03754029227721893,-0.005493947184141709
feature_0,-0.0003838565472960715,-0.0065608811456762655,1.0,0.022146025859614338,0.01661774554035962,-0.02331309694552032,-0.012364255043157945,-0.011498923774712731,0.02834630323256415,-0.022899295050579437,-0.013709263363288818,0.030651617194493132,0.025005549251727342,-0.005138519161837595,-0.0007871902003817289,0.01559417247181406,0.014567573825758014,0.029201828950305982,0.024379753754023258,0.6611710855134979,0.6709126763792632,0.6938259252996808,0.7276751569680365,0.7107452444387855,0.6328794647928487,0.6996910984114225,0.7123126758049105,0.7136114144273715,0.7272271610390457,-0.6466190737938307,-0.6754554577651747,-0.7065835213753645,-0.7354378308162777,-0.6576942975342933,-0.6907264458536885,-0.692279509794792,-0.6723728978490323,-0.7346522036939307,-0.7262711815653724,0.7127031972449026,0.7401530286888638,-0.7074608087971784,-0.755100641207597,-0.007936676746632327,0.012044897183752432,0.0085415696229352,-0.005471985009039542,-0.0016206356889803182,0.02575773393445748,0.0178056118295849,0.016915322700770702,0.011331811543222731,0.022318900530140365,0.0038048229152278356,-0.011479195456208421,0.015783769804769265,0.003057519983651312,-0.00559931598818426,0.0002585160501153573,-0.003666049951242561,-0.003985763732198326,-0.0025845940774044517,-0.006144533386746761,-0.006492498367298544,0.007965642583191795,0.0076668654512428176,-0.002270462333924588,0.029613315067578302,0.020734627602964087,-0.040302577280217085,-0.03735760813654724,0.02673121031265259,0.016352901954506723,0.02088717767455967,-0.12362974907509872,-0.5855588455606145,-0.2147414885768846,-0.371474296664653,-0.5355083657478533,-0.021558851193625637,-0.12863044217682368,-0.5131116945465405,-0.19692493817495152,-0.34313585641092875,-0.44038767787135574,-0.02017129753415321,-0.045148220017539,-0.5176238167785655,-0.105871835792047,-0.2891967657218734,-0.4545128237782489,-0.008944814446766449,-0.04812620752447506,-0.5132850699434512,-0.11346025284055927,-0.2223745509172386,-0.3561122074605387,-0.009459752826059202,0.05905365907246096,0.5257053748030132,0.1451431110213095,0.23314175120549166,0.4153574792921988,-0.0010341603974639464,0.06056250985520167,0.4301499627102068,0.10678872272342951,0.21293022808874784,0.39914361008989224,0.0012599839508701787,0.007716922063712666,0.02199993003301172,0.006927026721382692,0.0103757603058147,0.01949477934441055,-0.004075266322934932,0.004410901736638692,0.02063362672206367,0.005761408206489664,0.009918393883197704,0.01734927895409558,-0.003821618438208844,0.014118808218958532,0.0007731196314271394,0.01569998323598071,0.0011840290087875686,0.01514175443840915,4.3071975120446894e-05,0.015218360980141331,0.00027758747501349445,0.015562614470226627,0.0008268350684625782,-0.0003465499997214864,-0.025725822406683405
feature_1,-0.0381694049209438,-0.009857131612897639,0.022146025859614338,1.0,0.8596643301673442,0.014151337252682552,0.006017754082528199,0.00540207673720767,-0.0029825761522727545,0.11619976022811049,0.07846492004889342,0.7195206701784866,0.5758598645606294,0.2147080325311476,0.15965377779634246,0.3901497614558798,0.2785460319369662,0.6151063114637083,0.4839137293364634,0.11447239735443429,0.08318748630008364,0.2752458290071561,0.2203456340000626,0.15302558163606134,0.11783638167734888,0.19828999245578627,0.15617923790744118,0.2409520793552128,0.19687169088765213,0.058126716701269586,0.042366457726479845,0.21471667125364963,0.1660880738585334,0.10252803040859669,0.07714386025691371,0.1474572745971472,0.11617955257624728,0.16861712151496916,0.14988053994589884,0.04783789393693032,0.032837226250600135,0.0030223831600425903,-9.597649790488509e-05,-0.33321824920607496,0.44523108088755464,0.32848372232708617,0.011628159417054924,-0.1679553701844976,0.21808586110803793,0.4688598768264332,0.29624851599735796,0.16492451970758534,0.07353154076773441,-0.006165076823773396,-0.14526325728225326,0.461661121959065,0.06860624337366256,0.07186740127616904,0.0565685422230773,0.07351714233564335,0.07272504147615252,0.05783460221491894,0.022289920744204324,0.023146530940260836,0.028831564734302123,0.030941014516575292,-0.0036942280472496303,-0.02240818209899653,-0.022497294667367454,-0.025239603677020304,-0.025740916212301037,0.9058509202456082,0.5411750679235705,0.7449659115104049,-0.01076140564594907,-0.04162784621676731,-0.014311623732517955,-0.02865527232511991,-0.03999284085690227,-0.03407204100667622,-0.006825856667645323,-0.03923406582943546,-0.010247583820937546,-0.023152112609445732,-0.03435224572863642,-0.013540406613692034,0.09410471435010845,0.15672871231135818,0.11096062269135215,0.13434964469732913,0.14467721256334887,0.07590848492623203,-0.11885210711986813,0.03934073108500261,-0.07793094720058613,-0.04453957011044194,0.0074610772680556514,-0.14000383320307414,0.10670908408597647,0.2100870051393306,0.13338823012198867,0.1580289186719302,0.1963115774588957,0.07767674071168419,-0.11768645280694613,0.09510824875713736,-0.061702991071015546,-0.014866199305477404,0.051323612467174366,-0.13269436680474034,0.12662435035351383,0.3917780965715999,0.14708682738878215,0.2095076156499805,0.34669175084063264,0.0837285636565904,-0.11444282057770183,0.16752161241228203,-0.06769220305757194,-0.005909324148885361,0.09566723971357866,-0.13018140256394675,0.4229627789902081,-0.038235624346672534,0.4309000570803934,-0.016918893460458898,0.428780091829681,-0.030703312788659398,0.4435070819023518,-0.02762441164157442,0.4378917025917035,-0.02347756826779707,-0.038190032942965135,0.018288149760135198
feature_2,0.020429146797302185,0.06818778272462156,0.01661774554035962,0.8596643301673442,1.0,0.007161633958940137,0.00919735101096124,-0.005442113607540463,-0.009648136710412559,0.07957965414362209,0.09463833225686269,0.5462036740391777,0.6715844311055095,0.1527952702114742,0.18752517557099016,0.2889372829159213,0.32804203482342725,0.46454031504992105,0.5620130053691356,0.0779879273642618,0.08774444848281054,0.20846269141759735,0.24482245718680334,0.11111157448627823,0.13003131495240344,0.14748810469749624,0.16848003005438603,0.18382756269465406,0.21689158111661072,0.03912687598478241,0.05581751789921954,0.16938865099048941,0.20040074369484825,0.07529538932260561,0.09418958426522592,0.11415767012387988,0.14301299580190274,0.13606495182464565,0.18092015811291004,0.03144610373868356,0.032713839125958814,0.0006550736487002628,0.007332588966493615,-0.2442699446423348,0.14828055589601338,-0.09499928122641306,0.0023096361685505874,-0.18525955841504121,0.10773113676363302,0.22283507586655305,0.19985097636609178,0.18308506197861601,0.0660820223016906,0.0750549897042912,-0.14504375993966426,0.23931789747457866,0.151116389103629,0.04473733298906557,0.04993844698822869,0.046572061168649335,0.04638489006267667,0.04048239153107598,0.005281022755073493,0.0062617267406771026,0.02077404240008319,0.02175279780705358,-0.010192190623354217,-0.023954790548816208,-0.02288814279707839,-0.03594763728863721,-0.03614074963827744,0.7456714808516555,0.7029995985392249,0.887096536854994,-0.0017117450614005862,-0.031999091847092286,-0.00983105960429968,-0.022024185526827996,-0.030890487008912674,0.007793629515484182,0.0018277823064987305,-0.02690819188061141,-0.005777329333298933,-0.016013182652270804,-0.024258955371684307,0.021658582933571684,0.07071852906250435,0.18756509514215317,0.10377184793034261,0.14800061445113566,0.17331820251109364,0.014479435163179767,-0.16023187081895088,0.0453830472037668,-0.1011270834280272,-0.053696061219620436,0.010747557572240109,-0.214015502858101,0.07729019633430452,0.22471345800011092,0.12305126639604791,0.16098339057705016,0.21100933038768635,0.010170324713542137,-0.16715569040663766,0.0826543477248013,-0.09023365759433755,-0.03211513133644997,0.04133801218422468,-0.21439726888746505,0.10221130574591462,0.4231289649397477,0.13734527261648485,0.21798835280890627,0.3755047436197655,0.01746090533283282,-0.16363688154730643,0.15579965323820555,-0.09992619748172452,-0.02629104253821481,0.08498983319586415,-0.20769756591118332,0.17487258831023045,0.0447071955346619,0.19977805267568627,0.07498506503685498,0.18124788830395155,0.059562769152560445,0.19756755723712674,0.06487258235012731,0.19941939637396902,0.06967909772065405,0.0245843204969872,0.016427363791986557
feature_3,-0.0048625318915488346,-0.0029978609693745487,-0.02331309694552032,0.014151337252682552,0.007161633958940137,1.0,0.9104770109323272,0.6900860525895615,0.5813054062588134,0.36570008408340615,0.33271653410352015,0.05332557261086236,0.04754948030287261,0.2321475949201563,0.2114902826106263,0.14073531103513842,0.12959134515995754,0.07505653983308966,0.06638363835104881,0.1230070761416437,0.12466515399423929,0.007187660875518622,0.014494794712587826,0.054785882129881294,0.07447067871879656,0.023991366312100994,0.03467057146000539,0.005236401067834252,0.016337306094877557,0.19989647510781502,0.17237870557492369,0.04825024933873326,0.03130378962743238,0.13790530307118565,0.1131100831906689,0.09376120759938365,0.07439547784456219,0.05835691969390113,0.04216127866577899,0.42213205443777374,0.41272669085251584,0.45683813035895315,0.4184314353519577,-0.013846695226031663,0.028297312410481893,0.013405425243483517,-0.020220183786441404,-0.0140999443820306,0.014069263370654133,0.0221883626418365,0.015927034421156377,0.009067784187628951,0.003969930137412007,0.000202948301754949,-0.024935804318403983,0.04408458922138744,0.024059387381550227,0.0007117814456518993,0.008998224636993271,0.0015983768478567161,0.003067964062464151,0.0051874463854893445,0.01470980477445936,0.014597670405746764,0.02458265911518296,0.024377146210762857,0.014379562872150697,-0.014746328701816195,-0.006996874431824311,-0.02610318949292135,-0.02370985662083224,0.039725250532271154,0.01576575178905617,0.03266575320540711,-0.003123894997553032,0.00884857346347371,-0.001969417947976515,-0.00250864317632196,0.004380543136702749,-0.006022735841603969,-0.005578751716970853,0.008549911498588884,-0.0035162393992516187,-0.002245060758456193,0.004691781225371507,-0.007005707247774057,-0.014403581893401674,0.03919496374179534,-0.002172280869385723,0.009121731919510746,0.03045627018576475,-0.015938031855079453,-0.01735823616162118,0.035465305714246206,-0.006579541065782817,0.005961395118489821,0.026882820048449784,-0.01772138748919842,-0.011396807842985609,0.022453160708258115,0.0011619742638863096,0.013621700727010362,0.025037201076290195,-0.013182634503839788,-0.01377354519849545,0.019216566610980174,-0.0016298986025271031,0.009370508020774135,0.0169886344275669,-0.01470290547481868,-0.009332092349303144,0.05392192581384458,0.004083246527533317,0.021635044168506527,0.04909824015021273,-0.014409122959277664,-0.012978162965391232,0.04657578296903742,0.001030274794387827,0.018112338657210004,0.03879816595798356,-0.014417737316167765,0.031105105243755,0.0005234905666492881,0.0391810904252454,0.014980875440396354,0.03437935654209519,0.004406631469799476,0.03425491359003503,0.007147338783070647,0.036472062123471274,0.010932050427291864,-0.004930371982404472,0.0035809680289179157
feature_4,-0.003448439249806271,0.00023074956177682987,-0.012364255043157945,0.006017754082528199,0.00919735101096124,0.9104770109323272,1.0,0.6283076124971665,0.6402079974372547,0.3513287421821047,0.3978688604542733,0.04124010224238226,0.053159736219664,0.22501141761219434,0.2525773122177351,0.1341160292309698,0.15705458694312616,0.06522520998345377,0.07704380082625152,0.13437184402699695,0.16206721572726254,0.012527752159011678,0.02292532186353005,0.06928902313054293,0.1040452690421604,0.03697018247165241,0.053393806594892616,0.014618219264405905,0.028150103707266286,0.17615312888404028,0.18974625407763274,0.03207623665023967,0.027250873900329202,0.11976845149410538,0.12169561657768041,0.07643013091622584,0.0790855416848611,0.041714197823560735,0.03974821342970343,0.3990361302367488,0.45876619738830904,0.40640984768382765,0.4493880825800366,-0.006835028371090761,0.0097163248514873,-0.005998804520450918,-0.020430392480655035,-0.012760427874238521,0.007035980883609387,0.00815954868799104,0.009379881024240668,0.009365939340856704,0.004378918408020207,0.005601637020546164,-0.022512883422539938,0.02840393401703401,0.031861841533388245,0.0016034742445849156,0.011055198564568419,0.002447348495712461,0.00402728498546914,0.0070516950226931045,0.021325178877208577,0.021410804552393754,0.027164170381069313,0.026825533588351488,0.019755735131418747,-0.015426164638943165,-0.007499805030591329,-0.023408100950040252,-0.02090653917256076,0.029406311987430215,0.023582275479827688,0.037188125357327635,-0.0012776274873864584,0.0033459011487040665,-0.0012757092387084075,-0.003479389538256646,-0.00026737705985506325,-0.004595406096671579,-0.0012236918174851428,0.0038330598141365353,-0.0006675459755622768,-0.001824413666941281,0.0014921535496447997,-0.004344431649293833,-0.009373324059405759,0.03532868343503637,0.003959622461903249,0.015028346016185216,0.030543225212301014,-0.014385994413099016,-0.009036218237208904,0.031170504532582553,0.0027756547595768053,0.01436399056276734,0.028189444632022873,-0.014099471081883022,-0.007449319437865345,0.027801318441562313,0.006735281619679221,0.019977751705712414,0.03099727490127871,-0.012268437044985158,-0.007843407761333493,0.023138486663609886,0.005749874167433166,0.01681093461575065,0.023002526730485803,-0.011959850538643419,-0.004894876277433722,0.05317835141608057,0.009832752505790071,0.02801088779755302,0.05149266231725322,-0.012984001708842967,-0.006166764502651546,0.04579010305036782,0.008792366080664145,0.025747294918791453,0.042151800228476095,-0.011478356479432393,0.01307408992982869,0.002390407123438301,0.022827158552136847,0.02185174364350642,0.016419932934549467,0.008315300666206164,0.017205174494159634,0.012404062250112945,0.01984083353768895,0.017230470027090883,-0.0032986640517172453,0.0018439015759332226
feature_5,-0.007369700240596579,-0.0028426158397856834,-0.011498923774712731,0.00540207673720767,-0.005442113607540463,0.6900860525895615,0.6283076124971665,1.0,0.9103850144832575,0.27387773592962644,0.24671926452728546,0.039529643541192365,0.029290158888129355,0.17385240903730864,0.15540164258360664,0.10641855744156706,0.09394254836639916,0.0555429304286959,0.04372128269470139,0.07136792611476776,0.10505845071569275,0.002933253632450934,0.03233720326209311,0.02534032299480183,0.06699545356879621,0.004500583860808625,0.04146985423913329,-0.0035681294046900273,0.031273857088336604,0.1802191244631431,0.12310096170633263,0.04025677094320056,-0.00088153950388693,0.1268676467972191,0.07462436822241164,0.08771421611046236,0.04096854139127389,0.05232054676685025,0.009971799978752322,0.28652367794952777,0.3150153618656604,0.3540976095183904,0.28613414978470547,-0.00849045511289875,0.026652077299993526,0.01664442758741491,-0.019285119062651276,-0.01936606933687533,-0.002704214592949415,0.013863723008983192,0.005302144989278631,1.7492390288204432e-05,-0.013697223168965813,-0.007708517990350856,-0.026025059975376477,0.03973164880295496,0.017353864134180493,0.008991080516764925,0.011511746035187894,0.009748252958925714,0.011130923476190688,0.010519287701261993,0.011355520692441261,0.011420107478380032,0.01960808046468379,0.01930500116276945,0.01478542931860383,-0.00713724923790395,-0.001471841079363671,-0.01773588398546451,-0.015841574649531252,0.029599143803398554,0.005874788412112452,0.018968361825003197,-0.008156981303644065,0.005369806658952658,-0.0057449078239310905,-0.006258471951745135,-0.0011214323917111094,-0.009514592126779176,-0.005626060533794841,0.00758606225113485,-0.004500933606184241,-0.004464434240147022,0.00202016989704143,-0.0020475527659074796,-0.018212480114427793,0.028842341377494148,-0.006814051232463914,0.0006452044601403813,0.01903515113482534,-0.01609994055561864,-0.022384597901379585,0.0281083838756291,-0.011565118245509312,-0.00034237922492033596,0.018972945050490124,-0.018675338067611506,-0.0129849831147425,0.020452677349762395,-0.0005128994460868059,0.01135793828612282,0.023366659175685485,-0.012310126342272784,-0.018263140153247783,0.01645226309426479,-0.005346271537999749,0.006494141670052651,0.015513536057291668,-0.0164976639048702,-0.014062151707355634,0.04238727684492835,-0.00023503177059273187,0.014748565410051902,0.03804798052863732,-0.01459528011611468,-0.01852149787602188,0.03783654403520258,-0.004365300363659111,0.011272872555765381,0.030368263429793447,-0.016193229001083026,0.03130336127236519,0.00029992688488042376,0.03653242013965647,0.010940112416493421,0.034846867634959866,0.004103930059780048,0.03309054530087249,0.005830291045744807,0.03430679819990518,0.007827681054252678,-0.0074083877886308245,0.004527622984578105
feature_6,-0.006781451910029947,-0.0013025814341446915,0.02834630323256415,-0.0029825761522727545,-0.009648136710412559,0.5813054062588134,0.6402079974372547,0.9103850144832575,1.0,0.24420173544738175,0.27420017619871057,0.02691617985454836,0.02644249678702144,0.1555066871260559,0.17074391167054442,0.09327166585017461,0.10364771748276529,0.04328901301932709,0.043613603576601656,0.10635317294339475,0.154434034395071,0.027080225604806663,0.056061386352278995,0.0644715224406289,0.10900052492633451,0.04119049443854079,0.07812676605467735,0.027111854589171976,0.05992815605332133,0.11869616079020703,0.09610761208874898,0.004041434095747023,-0.026161927060980476,0.07479883205377708,0.04577220275736587,0.04032769093282092,0.014246214492641435,0.011289334339166785,-0.017275810278598567,0.28339468722727196,0.3576656578221386,0.2577468429068005,0.25038274303277874,-0.0022015322715155288,0.013168330944239647,0.005447820798442786,-0.020883623642193826,-0.017203409557923002,-0.005383252296256964,0.004665009493307439,0.0011230990895502628,-0.0006486580449245268,-0.011147992575034286,-0.003931921507878,-0.02267840832198004,0.02571521109118677,0.019637397495666606,0.008592015288694538,0.012132119960362701,0.009166988479388363,0.01031874167142853,0.010674660879036301,0.015942073828481788,0.01629721406637967,0.020096470862555036,0.019708219463278154,0.01923387723523104,-0.006058930141805904,-0.0007590517312835673,-0.013827141842238188,-0.011878084449366215,0.019057626351430126,0.007044838879398552,0.016308950339177994,-0.006841200578606646,-0.011523059820462969,-0.006907471510287757,-0.013535366717586867,-0.0155821404132117,-0.008442594169062652,-0.004854085573721255,-0.008993846820785422,-0.005701386401574742,-0.011830707872848081,-0.011282471579683106,-0.0014123592056855853,-0.014350119578109038,0.013100094686174481,-0.0025890435684364334,0.00044686501146630903,0.009359143247850091,-0.01463426543255258,-0.015200774555866742,0.011876739342999843,-0.004504927314004565,0.002906819893938369,0.01197134410943685,-0.014091558960096711,-0.009752979878854746,0.034708068472222596,0.005068673109957195,0.019476007286988554,0.03477689968394339,-0.011277199021691452,-0.011684726103610422,0.029911882551585126,0.0030039048371730236,0.01706018726582909,0.02928573640140516,-0.012322907479344882,-0.01101784028977261,0.039305399038616594,0.004342959350761267,0.019050534811385897,0.03784342204087995,-0.013270885920005875,-0.01191539279399372,0.03707070808286941,0.002861065552470109,0.018059310290258344,0.03330865128248349,-0.012041814635078666,0.0163227314366793,-0.00029282257611163044,0.022239785645932965,0.013497386406338758,0.01947594465762194,0.004864627930295234,0.01850665169159402,0.007531131113381481,0.019975344315344746,0.01010984918936312,-0.006729119875451387,0.0018918698048516515
feature_7,-0.014243566947503112,-0.015151643566863982,-0.022899295050579437,0.11619976022811049,0.07957965414362209,0.36570008408340615,0.3513287421821047,0.27387773592962644,0.24420173544738175,1.0,0.8964011049143115,0.19764504867001076,0.1599388199534203,0.587445545196953,0.5265021025439447,0.3741742037323886,0.33062824380069517,0.23503067632711097,0.19630218901560892,0.41101437746740327,0.3830000489501703,0.05384389037367694,0.048465569663709906,0.18761987749529968,0.20462559670640545,0.1038046602442278,0.10506132987246986,0.05286874794167633,0.05521983952576537,0.48335510822331124,0.4270787484962548,0.09712785928526618,0.06970066958064873,0.28788032742192265,0.24591029924165095,0.18073118514112949,0.15453507004002215,0.10839162288442952,0.08849375714080607,0.2326513049764654,0.23163676588528445,0.2757368311153693,0.253894824993317,-0.07561715997637097,0.12301429071826436,0.08343031258980022,-0.020818959938959266,-0.04920005739804141,0.04234149362668266,0.10136275597579725,0.058885692948397905,0.02866429585626275,0.0016597158137126738,-0.015319654193392375,-0.04650540462629493,0.15500614500313806,0.05870492293779125,0.008642331349397443,0.017736809350135108,0.010912866391025806,0.014513172416224305,0.014384284625927194,0.01650238741143106,0.0167175381825955,0.029440564997898613,0.029691726438015077,0.009687002737832262,-0.019737862536090094,-0.013023330449590937,-0.03197112300822554,-0.029744989220091687,0.15245097564527904,0.05055287374208916,0.11209428856167579,-0.0045135248842730034,0.007700547760484161,-0.0006901344065017144,-0.0030186387352138383,0.004888612199833904,-0.013380398215034322,-0.002390979870382698,0.0059942264128546125,-8.383685752437292e-06,-0.0014049057661748396,0.004107889153384362,-0.007566099872419467,-0.011966976812623585,0.05991540734774852,0.00589949129914723,0.020323981539520915,0.04847152909242143,-0.010216988088669127,-0.04990981937764183,0.0362150279537771,-0.02837904413445728,-0.008102767688280377,0.024878576868880405,-0.051140837401217866,-0.00820677987619288,0.043392553713125843,0.008147707585290345,0.027483994824531784,0.043462180755642094,-0.00682350161254865,-0.04877735018464621,0.024110262838225593,-0.02334480520427926,-0.0034361321148056326,0.013840127486834533,-0.04674911887742412,0.00023994705266895414,0.10358902767438538,0.020148111057321772,0.048801524765866106,0.09428003084528046,-0.006669948338259997,-0.04359335567216305,0.059716423028014665,-0.01825267463608215,0.008980028245764571,0.04393573280737435,-0.04715612065721285,0.13009889816026612,0.0010207631744449535,0.14363330921679918,0.03426747732241949,0.13659863065551822,0.015054799786448374,0.13841431915421637,0.02277855981937152,0.14089439087487463,0.028552632341403508,-0.01458436959702541,0.022153140025845442
