,Features,SU
131,action,1.0
44,feature_43,0.003030518003730506
40,feature_39,0.0023074993055635464
45,feature_44,0.0021968340913655947
6,feature_5,0.0020291469789921724
38,feature_37,0.0019974011564606133
1,feature_0,0.001913388697658206
63,feature_62,0.0017999581546261532
64,feature_63,0.0017683637728255343
7,feature_6,0.0016734866663043995
32,feature_31,0.0016487382042207957
35,feature_34,0.0015246862919694164
98,feature_97,0.001439471042615815
30,feature_29,0.0014133624402201531
18,feature_17,0.0013382399827738388
24,feature_23,0.0013085520789149862
21,feature_20,0.0012973315865282705
31,feature_30,0.0012781011223821875
27,feature_26,0.0012735977267973766
74,feature_73,0.0012163028403399127
56,feature_55,0.0012107883896911487
22,feature_21,0.0011712649373115773
102,feature_101,0.0011300131370086787
70,feature_69,0.0010755394337881952
92,feature_91,0.0010186053802790198
97,feature_96,0.0010090461692213017
84,feature_83,0.0009962036366391361
103,feature_102,0.0009755781163226238
100,feature_99,0.0009653953658848246
58,feature_57,0.0009632348602213356
0,weight,0.00095427459220323
117,feature_116,0.0009250789929813382
95,feature_94,0.0009072942930107757
105,feature_104,0.0008955125526294331
71,feature_70,0.0008877534553517117
77,feature_76,0.0008863132418863002
79,feature_78,0.0008654833396811144
89,feature_88,0.0008331011654200476
107,feature_106,0.00082097260611948
115,feature_114,0.0008154429347532113
121,feature_120,0.0008141123668922008
96,feature_95,0.0008061493271517136
126,feature_126,0.0007973735368228777
114,feature_113,0.0007792521096900069
10,feature_9,0.000773185491301518
51,feature_50,0.0007701803897814577
3,feature_2,0.000765712448356524
11,feature_10,0.0007616253690905288
47,feature_46,0.0007583168862716624
17,feature_16,0.0007539927296284883
128,feature_128,0.0007436359391313401
69,feature_68,0.0007329643532977368
93,feature_92,0.0007259898360814282
81,feature_80,0.0007205671069275793
15,feature_14,0.0007200580741482866
52,feature_51,0.000714829868036371
50,feature_49,0.0007110740014317959
14,feature_13,0.0007084505245517251
16,feature_15,0.0007075594578877495
49,feature_48,0.0007026335776817387
110,feature_109,0.0006913964104115354
129,feature_129,0.0006726409112154413
82,feature_81,0.0006339896447595697
48,feature_47,0.0006303272748582723
111,feature_110,0.0006222404932968905
53,feature_52,0.0006023113376599643
